cell_id,lat,lon,area_m2,footfall_persons,waste_kg_total,waste_compostable_kg,waste_recyclable_kg,waste_general_kg
0,28.543814136986622,77.17978783033374,703.9137605875642,2.63,0.3942,0.1577,0.1577,0.0788
1,28.54411619262117,77.17973561650234,2088.515130357019,8.01,1.2013,0.4805,0.4805,0.2403
2,28.54455320762904,77.17983309575703,1196.9337689311942,5.25,0.7877,0.3151,0.3151,0.1575
3,28.54369520210997,77.18021943818269,2204.233812964092,10.41,1.5611,0.6245,0.6245,0.3122
4,28.544124208029384,77.18020774708202,2500.0,12.77,1.9152,0.7661,0.7661,0.383
5,28.544575208908743,77.18021703842868,2500.0,13.85,2.0781,0.8313,0.8313,0.4156
6,28.54502520205248,77.18022751776,2487.7466039890787,14.76,2.2145,0.8858,0.8858,0.4429
7,28.545458581453264,77.18029260772757,1903.358440034208,12.3,1.8446,0.7378,0.7378,0.3689
8,28.54589238552531,77.18038997861753,1006.5707755828043,7.12,1.0676,0.4271,0.4271,0.2135
9,28.543292643472395,77.1807489236413,1468.105473718606,8.56,1.2834,0.5134,0.5134,0.2567
10,28.543665001979573,77.18070920309057,2500.0,15.52,2.3282,0.9313,0.9313,0.4656
11,28.544116002738537,77.18071849639603,2500.0,17.08,2.5613,1.0245,1.0245,0.5123
12,28.54456700346476,77.18072778991512,2500.0,18.52,2.7781,1.1113,1.1113,0.5556
13,28.545018004158234,77.18073708364788,2500.0,19.81,2.9713,1.1885,1.1885,0.5943
14,28.545469004818955,77.18074637759432,2500.0,20.89,3.1336,1.2534,1.2534,0.6267
15,28.54592000544694,77.18075567175441,2500.0,21.73,3.2588,1.3035,1.3035,0.6518
16,28.54634535123017,77.18075451760787,2181.67244578867,19.32,2.8975,1.159,1.159,0.5795
17,28.54320698014375,77.1812120026574,2485.8843523562346,18.21,2.731,1.0924,1.0924,0.5462
18,28.54365679492298,77.18121995001852,2500.0,20.42,3.0626,1.225,1.225,0.6125
19,28.544107795528777,77.18122924549637,2500.0,22.46,3.3691,1.3476,1.3476,0.6738
20,28.544558796101818,77.18123854118791,2500.0,24.35,3.653,1.4612,1.4612,0.7306
21,28.5450097966421,77.18124783709315,2500.0,26.03,3.9045,1.5618,1.5618,0.7809
22,28.545460797149644,77.18125713321213,2500.0,27.43,4.1141,1.6456,1.6456,0.8228
23,28.54591179762444,77.18126642954482,2500.0,28.49,4.2734,1.7093,1.7093,0.8547
24,28.54624979713038,77.1812293775353,1138.0123700131662,12.92,1.9383,0.7753,0.7753,0.3877
25,28.543674185471712,77.18162640476461,1426.0788778890856,14.39,2.1588,0.8635,0.8635,0.4318
26,28.544111274184782,77.18172048628517,2288.062823450932,26.4,3.9606,1.5842,1.5842,0.7921
27,28.544550586819895,77.18174929224698,2500.0,31.51,4.726,1.8904,1.8904,0.9452
28,28.545001587206965,77.18175859032472,2500.0,33.66,5.0485,2.0194,2.0194,1.0097
29,28.545452587561293,77.18176788861622,2500.0,35.43,5.3149,2.126,2.126,1.063
30,28.545903587882876,77.1817771871215,2500.0,36.76,5.5143,2.2057,2.2057,1.1029
31,28.546318338443193,77.18186437770115,1593.4903066820875,24.85,3.7271,1.4908,1.4908,0.7454
32,28.544594101518612,77.18209447299202,754.0290412658998,11.29,1.6935,0.6774,0.6774,0.3387
33,28.544993870894185,77.18226887110066,2494.532691708767,42.73,6.4094,2.5638,2.5638,1.2819
34,28.545444376053915,77.18227864380655,2500.0,45.05,6.758,2.7032,2.7032,1.3516
35,28.54589537622224,77.1822879444844,2500.0,46.69,7.0038,2.8015,2.8015,1.4008
36,28.546346376357807,77.18229724537608,2500.0,47.67,7.1511,2.8604,2.8604,1.4302
37,28.546797282549853,77.18230665090172,2498.946520176898,47.94,7.1904,2.8761,2.8761,1.4381
38,28.547227493141648,77.18236825367129,1937.0722276653396,37.71,5.6569,2.2628,2.2628,1.1314
39,28.547654012340185,77.18247721491203,904.5029478962532,17.98,2.6977,1.0791,1.0791,0.5395
40,28.545001237101193,77.18277576703909,2320.3040408785455,49.8,7.4704,2.9881,2.9881,1.4941
41,28.545436162627507,77.18278939878307,2500.0,56.4,8.4599,3.384,3.384,1.692
42,28.545887162642536,77.1827987016335,2500.0,58.39,8.7583,3.5033,3.5033,1.7517
43,28.546338162624817,77.1828080046978,2500.0,59.54,8.9304,3.5721,3.5721,1.7861
44,28.54678916257434,77.18281730797598,2500.0,59.79,8.968,3.5872,3.5872,1.7936
45,28.547240162491104,77.18282661146803,2500.0,59.13,8.869,3.5476,3.5476,1.7738
46,28.547691162375123,77.18283591517395,2500.0,57.58,8.6372,3.4549,3.4549,1.7274
47,28.548130348470256,77.182863477617,2298.9538411887847,51.22,7.6831,3.0732,3.0732,1.5366
48,28.548562389494748,77.18296571239883,1339.3643883551704,29.31,4.3971,1.7588,1.7588,0.8794
49,28.54501591549134,77.18328641914081,2066.3123464328237,54.86,8.2297,3.2919,3.2919,1.6459
50,28.545427947282075,77.1833001535457,2500.0,69.53,10.4293,4.1717,4.1717,2.0859
51,28.545878947143787,77.18330945856873,2500.0,71.91,10.7861,4.3144,4.3144,2.1572
52,28.54632994697273,77.18331876380564,2500.0,73.22,10.9834,4.3934,4.3934,2.1967
53,28.546780946768923,77.18332806925649,2500.0,73.41,11.012,4.4048,4.4048,2.2024
54,28.547231946532367,77.18333737492128,2500.0,72.47,10.87,4.348,4.348,2.174
55,28.547682946263045,77.18334668079997,2500.0,70.42,10.5633,4.2253,4.2253,2.1127
56,28.54813394596097,77.18335598689262,2500.0,67.37,10.1052,4.0421,4.0421,2.021
57,28.548584945626143,77.18336529319922,2500.0,63.44,9.5155,3.8062,3.8062,1.9031
58,28.549034240227996,77.18337663238415,2478.749191660283,58.35,8.7531,3.5013,3.5013,1.7506
59,28.54946396146916,77.18345248069024,1774.2258288169978,39.19,5.8791,2.3516,2.3516,1.1758
60,28.54988292602968,77.18355951942989,741.6565490450012,15.34,2.3008,0.9203,0.9203,0.4602
61,28.54500655517437,77.18381555937968,2057.3877813564513,66.84,10.0253,4.0101,4.0101,2.0051
62,28.545419730017617,77.18381090809444,2500.0,84.43,12.6651,5.0661,5.0661,2.533
63,28.54587072972597,77.18382021529003,2500.0,87.23,13.0852,5.2341,5.2341,2.617
64,28.546321729401548,77.18382952269957,2500.0,88.72,13.3074,5.323,5.323,2.6615
65,28.546772729044378,77.1838388303231,2500.0,88.81,13.3211,5.3284,5.3284,2.6642
66,28.54722372865445,77.1838481381606,2500.0,87.5,13.125,5.25,5.25,2.625
67,28.547674728231765,77.18385744621207,2500.0,84.85,12.7278,5.0911,5.0911,2.5456
68,28.548125727776323,77.18386675447753,2500.0,80.98,12.1472,4.8589,4.8589,2.4294
69,28.548576727288125,77.18387606295698,2500.0,76.06,11.4089,4.5636,4.5636,2.2818
70,28.549027726767164,77.18388537165042,2500.0,70.3,10.5444,4.2178,4.2178,2.1089
71,28.54947872621345,77.18389468055787,2500.0,63.93,9.5891,3.8356,3.8356,1.9178
72,28.549929725626978,77.18390398967932,2500.0,57.2,8.5797,3.4319,3.4319,1.7159
73,28.55032551826039,77.18392187959144,1797.034489872109,36.9,5.5356,2.2143,2.2143,1.1071
74,28.544960511246444,77.18431235327509,2500.0,96.32,14.4486,5.7794,5.7794,2.8897
75,28.545411510834143,77.18432166242921,2500.0,101.03,15.1546,6.0618,6.0618,3.0309
76,28.545862510389096,77.18433097179735,2500.0,104.28,15.6419,6.2567,6.2567,3.1284
77,28.546313509911275,77.18434028137952,2500.0,105.92,15.8873,6.3549,6.3549,3.1775
78,28.546764509400703,77.1843495911757,2500.0,105.86,15.8789,6.3516,6.3516,3.1758
79,28.547215508857377,77.18435890118592,2500.0,104.11,15.6167,6.2467,6.2467,3.1233
80,28.54766650828129,77.18436821141016,2500.0,100.75,15.1126,6.045,6.045,3.0225
81,28.54811750767244,77.18437752184845,2500.0,95.93,14.3897,5.7559,5.7559,2.8779
82,28.548568507030836,77.18438683250078,2500.0,89.87,13.4807,5.3923,5.3923,2.6961
83,28.549019506356473,77.18439614336712,2500.0,82.83,12.4249,4.97,4.97,2.485
84,28.549470505649342,77.18440545444753,2500.0,75.11,11.266,4.5064,4.5064,2.2532
85,28.549921504909463,77.18441476574199,2500.0,66.99,10.049,4.0196,4.0196,2.0098
86,28.550248635542857,77.18437639935155,1022.9558156919666,24.65,3.6976,1.479,1.479,0.7395
87,28.54456376738245,77.1848432257432,1739.0220843954012,75.61,11.3416,4.5366,4.5366,2.2683
88,28.544952290297385,77.18482310522332,2500.0,113.68,17.0515,6.8206,6.8206,3.4103
89,28.545403289731656,77.18483241654997,2500.0,119.15,17.8722,7.1489,7.1489,3.5744
90,28.545854289133167,77.18484172809067,2500.0,122.86,18.4288,7.3715,7.3715,3.6858
91,28.54630528850192,77.18485103984544,2500.0,124.63,18.6944,7.4778,7.4778,3.7389
92,28.546756287837916,77.1848603518143,2500.0,124.37,18.656,7.4624,7.4624,3.7312
93,28.547207287141145,77.18486966399722,2500.0,122.1,18.3149,7.326,7.326,3.663
94,28.547658286411615,77.18487897639423,2500.0,117.92,17.6874,7.0749,7.0749,3.5375
95,28.548109285649332,77.18488828900533,2500.0,112.02,16.8027,6.7211,6.7211,3.3605
96,28.548560284854283,77.1848976018305,2500.0,104.68,15.7015,6.2806,6.2806,3.1403
97,28.549011284026477,77.18490691486979,2500.0,96.21,14.4322,5.7729,5.7729,2.8864
